"Algebra Lineal","Martes 9:00 2 Viernes 7:00 2"
"Algebra Lineal","Martes 13:00 2 Jueves 13:00 2"
"Algoritmos Geneticos","Miercoles 8:00 3"
"Analisis y Diseño de Redes","Martes 11:00 2 Viernes 9:00 2"
"Analisis y Diseño de Redes","Miercoles 17:00 2 Viernes 15:00 2"
"Arquitectura de Computadoras","Martes 9:00 2 Jueves 7:00 2"
"Arquitectura de Computadoras","Martes 15:00 2 Jueves 15:00 2"
"Calculo ii","Martes 11:00 2"
"Calculo ii","Lunes 13:00 2" 
"Calculo ii","Martes 15:00 2"
"Fundamentos de Robotica","Sabado 7:00 3"
"Fundamentos de Robotica","Viernes 7:00 3"
"Programacion Paralela y Distribuida","Lunes 11:00 2 Jueves 12:00 2"
"Programacion Paralela y Distribuida","Viernes 17:00 2 Jueves 17:00 2"
"Sistemas Digitales","Lunes 8:00 3 Viernes 11:00 2"
"Sistemas Digitales","Lunes 13:00 3 Jueves 13:00 2"